pressure_PS1_bar,pressure_PS2_bar,pressure_PS3_bar,pressure_PS4_bar,pressure_PS5_bar,pressure_PS6_bar,motor_power_EPS1_W,flow_FS1_l_min,flow_FS2_l_min,temp_TS1_C,temp_TS2_C,temp_TS3_C,temp_TS4_C,vibration_VS1,efficiency_SE,cooling_eff_CE,cooling_pwr_CP,fault
155.25,5.07,4.99,4.86,4.97,8.05,2054.6,8.63,8.49,35.67,39.88,37.09,29.87,0.529,0.8423,98.49,1.484,0
157.8,5.11,4.93,4.94,4.88,7.54,2049.2,8.15,8.31,35.74,39.33,38.74,30.57,0.4818,0.8553,100.48,1.551,0
155.63,5.02,5.01,4.85,4.95,8.4,1992.5,8.66,8.67,35.17,40.39,37.6,29.4,0.5011,0.8443,100.7,1.562,0
153.28,5.06,5.01,5.05,5.08,7.6,2058.2,8.35,8.98,35.01,39.62,37.84,30.24,0.4985,0.8723,98.25,1.551,0
154.47,5.12,4.89,5.04,5.07,7.78,2158.7,8.6,8.73,36.06,40.12,37.6,30.45,0.5273,0.8475,101.93,1.474,0
153.7,4.97,4.96,5.0,5.07,8.14,2020.4,8.8,8.59,35.24,38.91,37.07,29.84,0.4839,0.8526,98.78,1.495,0
158.13,4.92,5.11,5.04,5.25,8.36,2156.7,8.75,8.13,34.9,39.85,38.2,30.09,0.5512,0.8823,99.99,1.481,0
150.82,4.92,4.9,4.9,5.23,7.8,2174.2,8.89,8.41,36.27,39.56,38.51,30.37,0.5345,0.8554,100.7,1.498,1
157.91,5.12,5.0,4.95,5.06,7.69,2086.9,8.86,8.54,35.02,40.01,37.76,29.72,0.5587,0.8624,100.62,1.494,0
156.89,4.93,5.01,4.91,5.05,7.62,2107.9,8.33,8.6,34.69,39.76,38.22,29.67,0.5108,0.8484,100.71,1.502,0
154.2,4.98,5.12,4.9,4.93,7.93,2096.5,8.6,8.57,34.39,40.53,38.59,30.06,0.4988,0.8666,99.24,1.444,0
155.63,4.89,4.94,5.03,5.09,7.96,2142.1,8.86,8.46,34.72,40.9,38.27,30.71,0.5271,0.8542,98.17,1.51,0
152.78,4.92,4.92,5.0,5.0,7.65,2152.6,8.65,8.89,35.39,38.53,38.08,29.82,0.5584,0.8529,98.48,1.519,0
153.83,5.04,4.98,5.03,4.99,8.23,2068.8,8.43,8.47,34.73,40.48,38.65,29.9,0.5098,0.8668,100.77,1.598,0
154.62,5.11,5.06,4.98,4.98,8.79,1980.3,8.35,8.87,35.4,39.35,38.1,29.9,0.5382,0.8574,100.15,1.548,0
156.63,5.0,5.19,5.01,5.23,7.84,2167.2,8.59,8.29,34.34,39.27,38.47,29.87,0.5212,0.8678,99.86,1.535,0
